crash_date,crash_time,latitude,longitude,on_street_name,zip_code,precinct,collision_type,roadway_type,geocode_dist_feet,time_is_known,borough,location,source,injury,fatality,injured_pedestrian,injured_cyclist,injured_ebike_rider,injured_motorcyclist,injured_moped_rider,injured_car_occupant,injured_suv_occupant,number_of_persons_injured,number_of_persons_killed,contributing_factor_vehicle_1,collision_id,cross_street_name,off_street_name,vehicle_type_code1
2026-08-29,00:00,40.6409307,-73.9792785,MCDONALD AVE,11218,66,UNKNOWN,Street,42.11548513358211,False,BROOKLYN,"(40.6409307, -73.9792785)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-08-28,00:00,40.6178584,-73.9800931,60 ST,11204,66,UNKNOWN,Street,44.063191198139734,False,BROOKLYN,"(40.6178584, -73.9800931)",trafficstat,True,False,False,False,False,False,False,False,True,,,,,,,
2026-08-28,00:00,40.6250893,-73.9874779,57 ST,11204,66,UNKNOWN,Street,44.587857098452474,False,BROOKLYN,"(40.6250893, -73.9874779)",trafficstat,True,False,False,True,False,False,False,False,False,,,,,,,
2026-08-27,00:00,40.6326538,-73.994022,53 ST,11219,66,UNKNOWN,Street,34.35168839337878,False,BROOKLYN,"(40.6326538, -73.994022)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-27,00:00,40.6292895,-73.9826137,OLD   NEW UTRECHT RD,11204,66,UNKNOWN,Street,0.9772420388208908,False,BROOKLYN,"(40.6292895, -73.9826137)",trafficstat,True,False,False,False,True,False,False,False,False,,,,,,,
2026-08-27,00:00,40.6369329,-73.974159,E  5 ST,11218,66,UNKNOWN,Street,35.280985410089095,False,BROOKLYN,"(40.6369329, -73.974159)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-26,00:00,40.6384157,-73.9726529,CORTELYOU RD,11218,66,UNKNOWN,Street,63.236579380021716,False,BROOKLYN,"(40.6384157, -73.9726529)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-26,00:00,40.6427961,-73.9794428,MCDONALD AVE,11218,66,OTHER,Street,0.24243776717428706,False,BROOKLYN,"(40.6427961, -73.9794428)",trafficstat,True,False,False,False,False,False,False,False,True,,,,,,,
2026-08-26,00:00,40.6282811,-73.99729,60 ST,11219,66,UNKNOWN,Street,53.820004153159296,False,BROOKLYN,"(40.6282811, -73.99729)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-25,00:00,40.6235928,-73.9757995,AVE J,11230,66,UNKNOWN,Street,3.3580384411579605,False,BROOKLYN,"(40.6235928, -73.9757995)",trafficstat,True,False,True,False,False,False,False,False,False,,,,,,,
2026-08-25,00:00,40.6337648,-74.000598,56 ST,11219,66,UNKNOWN,Street,2.1698151567240553,False,BROOKLYN,"(40.6337648, -74.000598)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-25,00:00,40.636651,-74.0066198,57 ST,11220,66,OTHER,Street,43.760885121033105,False,BROOKLYN,"(40.636651, -74.0066198)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-24,00:00,40.6386268,-73.969624,E  9 ST,11218,66,UNKNOWN,Street,38.06636761400253,False,BROOKLYN,"(40.6386268, -73.969624)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-08-24,00:00,40.632835,-74.00515,60 ST,11219,66,UNKNOWN,Street,1.0033665737943456,False,BROOKLYN,"(40.632835, -74.00515)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-23,00:00,40.6241383,-73.9910563,60 ST,11204,66,OTHER,Street,53.37570077541687,False,BROOKLYN,"(40.6241383, -73.9910563)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-23,00:00,40.6390108,-74.0014919,51 ST,11219,66,UNKNOWN,Street,39.87740597010254,False,BROOKLYN,"(40.6390108, -74.0014919)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-23,00:00,40.6456969,-73.9730144,E  7 ST,11218,66,OTHER,Street,36.24821580492131,False,BROOKLYN,"(40.6456969, -73.9730144)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-22,00:00,40.6362922,-74.0053594,9 AVE,11220,66,UNKNOWN,Street,45.079553950457985,False,BROOKLYN,"(40.6362922, -74.0053594)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-08-22,00:00,40.624172,-73.970474,OCEAN PKWY,11230,66,UNKNOWN,Street,0.5972359449054949,False,BROOKLYN,"(40.624172, -73.970474)",trafficstat,True,False,False,False,False,False,False,False,True,,,,,,,
2026-08-22,00:00,40.6325844,-74.0063049,61 ST,11219,66,UNKNOWN,Street,1.817432094694984,False,BROOKLYN,"(40.6325844, -74.0063049)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-21,00:00,40.6302892,-73.9870432,51 ST,11219,66,OTHER,Street,40.99621063003655,False,BROOKLYN,"(40.6302892, -73.9870432)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-21,00:00,40.6145029,-73.9674128,E  7 ST,11230,66,UNKNOWN,Street,48.919035801670816,False,BROOKLYN,"(40.6145029, -73.9674128)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-20,00:00,40.62937,-73.9798464,47 ST,11204,66,UNKNOWN,Street,22.469708304979953,False,BROOKLYN,"(40.62937, -73.9798464)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-20,00:00,40.6273253,-73.9929606,15 AVE,11219,66,UNKNOWN,Street,2.221945260472368,False,BROOKLYN,"(40.6273253, -73.9929606)",trafficstat,True,False,False,True,False,False,False,False,False,,,,,,,
2026-08-20,00:00,40.634815,-73.988754,14 AVE,11219,66,UNKNOWN,Street,1.6429572685191787,False,BROOKLYN,"(40.634815, -73.988754)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
2026-08-20,00:00,40.6396523,-73.9880121,41 ST,11218,66,UNKNOWN,Street,55.83021620445385,False,BROOKLYN,"(40.6396523, -73.9880121)",trafficstat,True,False,False,False,False,False,False,False,False,,,,,,,
2026-08-19,00:00,40.6413489,-73.9877771,39 ST,11218,66,UNKNOWN,Street,51.636449644582385,False,BROOKLYN,"(40.6413489, -73.9877771)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-19,00:00,40.6360045,-73.9982633,52 ST,11219,66,OTHER,Street,2.2240385792811144,False,BROOKLYN,"(40.6360045, -73.9982633)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-19,00:00,40.6348155,-73.9887516,14 AVE,11219,66,OTHER,Street,2.051340526656657,False,BROOKLYN,"(40.6348155, -73.9887516)",trafficstat,True,False,False,False,False,False,False,False,False,,,,,,,
2026-08-07,00:00,40.6348155,-73.9887516,14 AVE,11219,66,UNKNOWN,Street,2.051340526656657,False,BROOKLYN,"(40.6348155, -73.9887516)",trafficstat,True,False,False,False,False,False,False,False,True,,,,,,,
2026-08-19,00:00,40.630182,-73.9772458,MCDONALD AVE,11230,66,UNKNOWN,Street,51.77207793853036,False,BROOKLYN,"(40.630182, -73.9772458)",trafficstat,True,False,False,False,False,False,False,False,True,,,,,,,
2026-08-19,00:00,40.6150947,-73.9643595,E  10 ST,11230,66,UNKNOWN,Street,0.28220727635831794,False,BROOKLYN,"(40.6150947, -73.9643595)",trafficstat,False,False,False,False,False,False,False,False,False,,,,,,,
2026-08-19,00:00,40.6173075,-73.9651919,AVE M,11230,66,UNKNOWN,Street,51.00576972774017,False,BROOKLYN,"(40.6173075, -73.9651919)",trafficstat,True,False,False,False,False,False,False,False,True,,,,,,,
2026-08-10,00:00,40.6173075,-73.9651919,AVE M,11230,66,UNKNOWN,Street,51.00576972774017,False,BROOKLYN,"(40.6173075, -73.9651919)",trafficstat,True,False,False,False,False,False,False,True,False,,,,,,,
